Month,Day,Time,State,F Scale,Injuries,Fatalities,PropLoss,Length,Width,NumberStates,F0
3,28,19:50:00,TX,0,0,0,0,4.53,50,1,Yes
3,29,1:08:00,TX,0,0,0,300000,6.48,200,1,Yes
3,29,1:10:00,TX,0,0,0,100000,11.37,500,1,Yes
3,29,1:31:00,TX,1,0,0,600000,1.62,130,1,No
3,29,4:38:00,TX,1,0,0,60000,5.97,480,1,No
3,29,9:34:00,TX,0,0,0,150000,0.27,50,1,Yes
3,29,12:23:00,TX,0,0,0,0,0.1,20,1,Yes
3,29,13:55:00,TX,1,0,0,27000,0.43,50,1,No
3,29,14:00:00,TX,0,0,0,100000,2,200,1,Yes
3,29,14:03:00,TX,1,2,0,300000,2.67,250,1,No
3,29,14:13:00,TX,1,0,0,60000,1.31,600,1,No
3,29,14:25:00,TX,1,0,0,20000,0.46,300,1,No
3,29,14:35:00,TX,0,0,0,0,0.08,30,1,Yes
3,29,15:12:00,TX,1,0,0,10000,0.42,25,1,No
3,29,15:34:00,TX,1,0,0,50000,12.19,800,1,No
3,29,18:23:00,AR,1,0,0,0,2.4,150,1,No
3,29,19:11:00,LA,2,0,0,125000,3.57,100,1,No
3,29,22:00:00,MO,1,0,0,50000,2.5,200,1,No
3,29,22:23:00,MS,1,0,0,0,2.1,450,1,No
3,30,4:32:00,MS,0,0,0,95000,1.06,200,1,Yes
3,31,15:33:00,VA,1,0,0,250000,12.32,100,1,No
3,31,16:13:00,VA,2,0,0,7900000,8.86,350,1,No
3,31,16:15:00,NC,1,0,0,250000,4.8,100,1,No
4,2,8:04:00,LA,1,0,0,5000,0.06,10,1,No
4,2,8:15:00,TX,0,0,0,100000,3,100,1,Yes
4,2,8:47:00,LA,1,0,2,15000,0.8,20,1,No
4,2,11:25:00,TX,0,0,0,15000,0.5,30,1,Yes
4,2,12:56:00,TX,1,0,0,50000,6.36,310,1,No
4,2,13:32:00,LA,1,0,0,5000,7.29,50,1,No
4,2,13:50:00,LA,2,0,0,250000,6.11,800,1,No
4,2,13:53:00,LA,2,0,0,100000,5.55,1636,1,No
4,2,14:05:00,LA,1,0,0,750000,5.41,500,1,No
4,2,14:07:00,LA,1,0,0,50000,9.83,370,1,No
4,2,14:20:00,LA,0,0,0,0,0.1,10,1,Yes
4,2,14:52:00,LA,2,0,0,1000000,13.66,2252,1,No
4,2,14:54:00,LA,1,0,0,0,4.1,1108,1,No
4,2,15:12:00,LA,1,0,0,70000,4.43,1108,1,No
4,2,15:17:00,LA,1,0,0,85000,13.19,1232,1,No
