Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
320,Josh Donaldson,home_run,2019,111.1,27,93.3,443,WSH,Graphs
321,Gary Sanchez,home_run,2019,114.9,27,93.3,443,BAL,Graphs
322,Paul Goldschmidt,home_run,2019,107.2,27,89.4,443,MIL,Graphs
323,Mitch Garver,home_run,2019,105.4,31,93.7,443,CWS,Graphs
324,Mike Trout,home_run,2019,114,25,96,442,TEX,Graphs
325,Yordan Alvarez,home_run,2019,110.6,25,92.1,442,BAL,Graphs
326,Eloy Jimenez,home_run,2019,108.1,24,80.8,442,CLE,Graphs
327,Keston Hiura,home_run,2019,110.2,28,85.2,442,CIN,Graphs
328,Dawel Lugo,home_run,2019,109.7,20,78.9,442,KC,Graphs
329,Mike Trout,home_run,2019,109.9,23,86.6,442,CIN,Graphs
330,Bryce Harper,home_run,2019,116.4,22,98.2,442,WSH,Graphs
331,Trevor Story,home_run,2019,106.9,29,89.9,442,TOR,Graphs
332,Dwight Smith,home_run,2019,107,23,92.2,442,SF,Graphs
333,Kyle Schwarber,home_run,2019,109.4,29,93.8,442,MIL,Graphs
334,Christian Walker,home_run,2019,107.1,25,87.1,442,LAD,Graphs
335,Jose Abreu,home_run,2019,113,32,91.6,442,MIN,Graphs
336,Yasmani Grandal,home_run,2019,108.7,33,91.2,442,CHC,Graphs
337,Ketel Marte,home_run,2019,105.8,22,85.3,442,COL,Graphs
338,Ketel Marte,home_run,2019,107.8,27,89.7,442,COL,Graphs
339,Matt Carpenter,home_run,2019,108.5,32,95,442,ATL,Graphs
340,JaCoby Jones,home_run,2019,109.5,19,94.8,442,CLE,Graphs
341,Cody Bellinger,home_run,2019,108.1,31,97.4,442,ARI,Graphs
342,Edwin Encarnacion,home_run,2019,111.2,24,89.1,442,HOU,Graphs
343,Teoscar Hernandez,home_run,2019,109.2,26,92,442,BOS,Graphs
344,Joey Gallo,home_run,2019,113.4,33,96.2,442,HOU,Graphs
345,Nate Lowe,home_run,2019,108.6,22,90.3,442,CLE,Graphs
346,Hunter Renfroe,home_run,2019,111.2,24,93,442,WSH,Graphs
347,Aaron Judge,home_run,2019,116.3,19,98.4,442,TB,Graphs
348,Stephen Vogt,home_run,2019,106.8,25,94.7,442,COL,Graphs
349,Christian Walker,home_run,2019,108.6,23,94.1,441,LAD,Graphs
350,Gary Sanchez,home_run,2019,116,19,92.6,441,CLE,Graphs
351,Tyler Austin,home_run,2019,107.1,34,91.4,441,COL,Graphs
352,Bo Bichette,home_run,2019,107.5,28,92.6,441,NYY,Graphs
353,Brandon Dixon,home_run,2019,106.5,31,92.4,441,PIT,Graphs
354,Luis Urias,home_run,2019,102.2,30,82.8,441,COL,Graphs
355,Corey Seager,home_run,2019,108,24,94.9,441,WSH,Graphs
356,Adam Jones,home_run,2019,108.5,33,86.7,441,COL,Graphs
357,Chance Sisco,home_run,2019,107.4,28,91.4,441,TB,Graphs
358,Yasmani Grandal,home_run,2019,107.4,25,93.7,441,LAA,Graphs
359,Xander Bogaerts,home_run,2019,105.9,24,96.6,441,DET,Graphs
360,Matt Chapman,home_run,2019,111.5,22,86.5,441,HOU,Graphs
361,Teoscar Hernandez,home_run,2019,106.4,24,84.4,441,BOS,Graphs
